tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse,,,,,,
29,90,1,1,1,0,0.0001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,6.00844,-1.51207,-6.00489,1.54646,1,1,1,1,,,,,,
30,380,1,1,1,0,0.00031,0.004394,0.263317,0,0,0,0,0,0,0,0,0,0,0,0,8.69151,-2.76685,-8.67736,2.32974,1,1,1,1,,,,,,
30,380,1,1,1,0,0.00042,0.00585,0.352589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
30,610,1,1,1,1,0.000336,0.02564,0,0,0,0,0,0,0.942857,0,0,0,0,0,0,-5.19041,1.16656,5.19863,-0.539068,1,1,1,1,,,,,,
30,611,1,1,1,1,0.000336,0.025642,0,0,0,0,0,0,0.942857,0,0,0,0,0,0,-4.19747,0.735508,4.20274,-0.33284,1,1,1,1,,,,,,
30,612,1,1,1,1,0.000336,0.025642,0,0,0,0,0,0,0.942857,0,0,0,0,0,0,-1.63869,0.759433,1.63964,-0.687101,1,1,1,1,,,,,,
30,613,1,1,1,1,0.000336,0.025642,0,0,0,0,0,0,0.942857,0,0,0,0,0,0,-0.166168,0.958146,0.166442,-0.937177,1,1,1,1,,,,,,
30,614,1,1,1,1,0.000336,0.025642,0,0,0,0,0,0,0.942857,0,0,0,0,0,0,-5.0205,1.16901,5.02822,-0.579809,1,1,1,1,,,,,,
30,615,1,1,1,1,0.000336,0.025642,0,0,0,0,0,0,0.942857,0,0,0,0,0,0,-5.20478,1.16841,5.21305,-0.537461,1,1,1,1,,,,,,
31,30,1,1,1,0,0.000241,0.003617,0.202704,0,0,0,0,0,0,0,0,0,0,0,0,-6.66085,0.897836,6.66638,-1.23415,1,1,1,1,,,,,,
31,30,1,1,1,0,0.000259,0.003704,0.202778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
31,382,1,1,1,0,0.000112,0.001525,0.095114,0,0,0,0,0,0,0,0,0,0,0,0,4.10071,-1.53148,-4.09969,1.3493,1,1,1,1,,,,,,
31,382,1,1,1,0,0.000111,0.001526,0.095114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
31,850,1,1,1,1,0.000089,0.0176,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,1.28444,0.317736,-1.28428,-0.284912,1,1,1,1,,,,,,
31,851,1,1,1,1,0.000082,0.0174,0,0,0,0,0,0,1.047619,0,0,0,0,0,0,1.2735,0.314994,-1.27335,-0.283094,1,1,1,1,,,,,,
32,33,1,1,1,0,0.004141,0.021017,0.020353,0,0,0,0,0,0,0,0,0,0,0,0,-0.543401,0.597295,0.545979,-0.605741,1,1,1,1,,,,,,
32,35,1,1,1,0,0.005773,0.035979,0.033159,0,0,0,0,0,0,0,0,0,0,0,0,0.851347,-0.584371,-0.845695,0.583636,1,1,1,1,,,,,,
33,1030,1,1,1,1,0.001454,0.06125,0,0,0,0,0,0,1.025,0,0,0,0,0,0,0.763451,0.239083,-0.762518,-0.199766,1,1,1,1,,,,,,
33,1033,1,1,1,1,0.001595,0.061707,0,0,0,0,0,0,1.025,0,0,0,0,0,0,0.877375,0.289491,-0.87601,-0.236662,1,1,1,1,,,,,,
34,33,1,1,1,0,0.003604,0.018745,0.017711,0,0,0,0,0,0,0,0,0,0,0,0,-0.00610039,0.301693,0.0064298,-0.318635,1,1,1,1,,,,,,
34,35,1,1,1,0,0.008034,0.03782,0.036698,0,0,0,0,0,0,0,0,0,0,0,0,1.0768,-0.764033,-1.0638,0.785608,1,1,1,1,,,,,,
34,621,1,1,1,1,0.000689,0.049679,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-1.01051,0.538289,1.01145,-0.470216,1,1,1,1,,,,,,
35,272,1,1,1,0,0.00059,0.004896,0.007293,0,0,0,0,0,0,0,0,0,0,0,0,0.564466,-0.0666209,-0.56438,0.0539155,1,1,1,1,,,,,,
35,272,1,1,1,0,0.00059,0.004896,0.004903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
35,358,1,1,1,0,0.008355,0.046671,0.045499,0,0,0,0,0,0,0,0,0,0,0,0,2.80116,-0.15974,-2.7727,0.229168,1,1,1,1,,,,,,
35,358,1,1,1,0,0.007589,0.046541,0.043153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,,,
35,1259,1,1,1,1,0.00148,0.097183,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.460342,0.0700678,-0.460025,-0.0492551,1,1,1,1,,,,,,
35,1262,1,1,1,1,0.001482,0.0969,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.459655,0.0674742,-0.459339,-0.0468166,1,1,1,1,,,,,,
36,37,1,1,1,0,0.020236,0.092942,0.081466,0,0,0,0,0,0,0,0,0,0,0,0,-0.971335,0.810242,1.0001,-0.770022,1,1,1,1,,,,,,
36,410,1,1,1,0,0.002661,0.014143,0.008641,0,0,0,0,0,0,0,0,0,0,0,0,0.224629,-1.00012,-0.222286,1.00224,1,1,1,1,,,,,,
36,1458,1,1,1,1,0.001493,0.096665,0,0,0,0,0,0,1.075,0,0,0,0,0,0,0.342581,0.0853439,-0.342399,-0.0735632,1,1,1,1,,,,,,
36,1461,1,1,1,1,0.001025,0.080775,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.404599,0.102602,-0.404435,-0.0896587,1,1,1,1,,,,,,
