tap_bus,z_bus,st,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
1360,1361,四川.夹江ZXD,四川.夹江/1#变压器_m,1,1,1,0.000565,-0.006832,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.60223,0.13428,0,0,1,1,1,1
1360,1362,四川.夹江ZXD,四川.夹江/1#变压器_l,1,1,1,0.001595,0.0609,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00754,-0.00051,0,0,1,1,1,1
138,1363,四川.夹江.220.981,四川.夹江/2#变压器_h,1,1,1,0.00145,0.097333,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,0.65087,-0.0385,0,0,1,1,1,1
1363,1364,四川.夹江ZXD,四川.夹江/2#变压器_m,1,1,1,0.000955,-0.007932,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.64445,0.07851,0,0,1,1,1,1
1363,1365,四川.夹江ZXD,四川.夹江/2#变压器_l,1,1,1,0.001073,0.058333,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00528,0.00195,0,0,1,1,1,1
60,1366,四川.江南.220.1031,四川.江南/1#变压器_h,1,1,1,0.001371,0.095333,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.35019,0.00752,0,0,1,1,1,1
1366,1367,四川.江南ZXD,四川.江南/1#变压器_m,1,1,1,0.000495,-0.007333,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.34889,0.00446,0,0,1,1,1,1
1366,1368,四川.江南ZXD,四川.江南/1#变压器_l,1,1,1,0.001507,0.06,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00102,0.00024,0,0,1,1,1,1
60,1369,四川.江南.220.1031,四川.江南/2#变压器_h,1,1,1,0.001418,0.095433,0,0,0,0,0,0,1.056957,0,0,0,0,0,0,0.34693,-0.02631,0,0,1,1,1,1
1369,1370,四川.江南ZXD,四川.江南/2#变压器_m,1,1,1,0.000374,-0.007433,0,0,0,0,0,0,1.052174,0,0,0,0,0,0,-0.34009,-0.10917,0,0,1,1,1,1
1369,1371,四川.江南ZXD,四川.江南/2#变压器_l,1,1,1,0.00145,0.061233,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.00654,0.14898,0,0,1,1,1,1
31,1372,四川.平春.220.1376,四川.平春/1#变压器_h,1,1,1,0.002053,0.118333,0,0,0,0,0,0,1.042609,0,0,0,0,0,0,0.4838,-0.11394,0,0,1,1,1,1
