bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,Ri_V,Ri_vP,Ri_vQ,,,,,,,
113,1844,0,1,1,0.985946,-16.9506,0,0,0,0,220,230,0,0,0,0,0,1.03808,-13.125,-0.000198558,-1.82E-05,1,0,0,,,,,,,
114,1597,0,1,1,1.00021,-12.8317,0,-0.09735,0,0,220,230,0,0,0,0,0,1.03462,-8.68562,-0.000100621,0.0973459,1,0,0,,,,,,,
115,1810,0,1,1,1.00585,-6.41794,0,0,0,0,220,230,0,0,0,0,0,1.02051,-2.94191,4.86E-06,3.45E-05,1,0,0,,,,,,,
116,791,0,1,1,0.985342,-17.0402,0,0,0,0,220,230,0,0,0,0,0,1.03751,-13.2057,-2.16E-05,-1.60E-05,1,0,0,,,,,,,
117,3379,0,1,1,0.998836,-13.9235,0,0,0,0,220,230,0,0,0,0,0,1.03839,-9.62929,-5.46E-05,-7.18E-06,1,0,0,,,,,,,
118,10909,0,1,1,1.0019,-12.3773,0,0,0,0,220,230,0,0,0,0,0,1.02176,-8.29983,2.23E-08,-2.87E-08,1,0,0,,,,,,,
119,1890,0,1,1,0.995095,-18.3982,0,0,0,0,220,230,0,0,0,0,0,1.03582,-14.0881,0.000103615,1.43E-05,1,0,0,,,,,,,
120,459,0,1,1,0.988232,-16.7038,0,0,0,0,220,230,0,0,0,0,0,1.03805,-12.9023,-0.000343342,-5.72E-05,1,0,0,,,,,,,
121,1604,0,1,1,0.998683,-12.258,0,0,0,0,500,525,0,0,0,0,0,1.03572,-8.74572,-0.00337799,-0.000235243,1,0,0,,,,,,,
122,531,0,1,1,1.00204,-17.8168,0,0,0,0,220,230,0,0,0,0,0,1.01409,-14.0948,-0.000189628,-2.31E-05,1,0,0,,,,,,,
123,1069,0,1,1,1.00254,-17.6553,0,0,0,0,220,230,0,0,0,0,0,1.0142,-13.9321,0.000101318,1.61E-05,1,0,0,,,,,,,
124,1506,0,1,1,0.999048,-2.64931,0,0,0,0,220,230,0,0,0,0,0,1.00344,1.13579,-0.000175228,-4.30E-06,1,0,0,,,,,,,
125,2103,0,1,1,0.997727,-16.2785,0,0,0,0,220,230,0,0,0,0,0,1.02725,-12.4361,-0.000244692,-3.50E-05,1,0,0,,,,,,,
126,3185,0,1,1,1.00029,-14.1666,0,0,0,0,220,230,0,0,0,0,0,1.04274,-9.72975,-2.29E-05,-4.47E-06,1,0,0,,,,,,,
127,1124,0,1,1,1.00088,-16.7844,1.47623,-0.02218,0,0,220,230,0,0,0,0,0,1.0212,-12.9763,-1.47554,0.022115,1,0,0,,,,,,,
128,2143,0,1,1,1.00052,-4.07145,0,0,0,0,220,230,0,0,0,0,0,0.999676,-0.752462,2.63E-05,3.94E-06,1,0,0,,,,,,,
