ap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reverse,M_Q_TLPF_reverse,Ri_eP,Ri_eQ,Ri_eP_reverse,Ri_eQ_reverse
30,305,1,1,1,0,0.007915,0.035321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111389,-0.0435097,-0.00109916,0.0435755,1,1,1,1
30,306,1,1,1,0,0.0001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
30,744,1,1,1,1,0,0.11613,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,0,0.224498,0,-0.218416,1,1,1,1
30,1063,1,1,1,1,0,0.12475,0,0,0,0,0,0,1.0283,0,0,0,0,0,0,0,-0.213361,0,0.219262,1,1,1,1
31,32,1,1,1,0,0.000632,0.008113,0.45,0,0,0,0,0,0,0,0,0,0,0,0,9.01121,0.840526,-8.98443,-1.37374,1,1,1,1
31,32,1,1,1,0,0.000632,0.008004,0.45152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
31,466,1,1,1,1,6.20E-05,0.018553,0,0,0,0,0,0,1,0,0,0,0,0,0,2.75209,0.454555,-2.7516,-0.306883,1,1,1,1
31,468,1,1,1,1,6.00E-05,0.01838,0,0,0,0,0,0,1,0,0,0,0,0,0,2.7729,0.458007,-2.77242,-0.309491,1,1,1,1
32,314,1,1,1,0,0.00015,0.002362,0.14287,0,0,0,0,0,0,0,0,0,0,0,0,1.59549,1.40046,-1.5951,-1.66767,1,1,1,1
32,314,1,1,1,0,0.00015,0.002377,0.14149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
32,791,1,1,1,1,9.00E-05,0.015522,0,0,0,0,0,0,1,0,0,0,0,0,0,2.64229,0.262927,-2.64163,-0.149267,1,1,1,1
32,793,1,1,1,1,4.00E-05,0.014,0,0,0,0,0,0,1,0,0,0,0,0,0,2.66112,0.263153,-2.66083,-0.159183,1,1,1,1
33,150,1,1,1,0,0.001728,0.011951,0.022487,0,0,0,0,0,0,0,0,0,0,0,0,-1.61206,-0.205107,1.61436,0.175478,1,1,1,1
33,150,1,1,1,0,0.001681,0.011887,0.024262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
33,265,1,1,1,0,0.001777,0.012219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151386,-0.100105,-0.151355,0.100312,1,1,1,1
33,265,1,1,1,0,0.001794,0.012276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
