tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit,ioff,joff
123,115,1,1,1,0,0.003531,0.018996,0.019027,0,0,0,0,0,0,0,0,0,0,0,0,-0.45391,-0.07819,0.45465,0.04429,910.400024,0,0
123,115,1,1,1,0,0.003574,0.019006,0.019052,0,0,0,0,0,0,0,0,0,0,0,0,-0.45363,-0.07722,0.45438,0.04326,910.400024,0,0
106,124,1,1,1,0,0.000473,0.010749,0.602622,0,0,0,0,0,0,0,0,0,0,0,0,3.67346,-0.48263,-3.66714,1.71111,4861.600098,0,0
106,124,1,1,1,0,0.000488,0.01068,0.580552,0,0,0,0,0,0,0,0,0,0,0,0,3.69684,-0.46591,-3.69023,1.73977,4861.600098,0,0
125,126,1,1,1,0,0.000791,0.003638,0.003112,0,0,0,0,0,0,0,0,0,0,0,0,-0.35349,0.05496,0.35359,-0.06079,781.799988,0,0
127,107,1,1,1,0,0.002842,0.01401,0.026457,0,0,0,0,0,0,0,0,0,0,0,0,-0.44509,0.02573,0.44566,-0.07605,910.400024,0,0
127,107,1,1,1,0,0.002636,0.0144,0.028439,0,0,0,0,0,0,0,0,0,0,0,0,-0.43553,0.01422,0.43604,-0.06857,910.400024,0,0
128,115,1,1,1,0,0.006215,0.03335,0.033429,0,0,0,0,0,0,0,0,0,0,0,0,-0.20095,0.15492,0.20142,-0.21953,910.400024,0,0
128,115,1,1,1,0,0.006485,0.035255,0.034409,0,0,0,0,0,0,0,0,0,0,0,0,-0.19058,0.14337,0.19102,-0.21008,910.400024,0,0
129,16,1,1,1,0,0.007351,0.040715,0.040505,0,0,0,0,0,0,0,0,0,0,0,0,0.28263,-0.06839,-0.28203,-0.00845,910.400024,0,0
129,16,1,1,1,0,0.007416,0.040038,0.039658,0,0,0,0,0,0,0,0,0,0,0,0,0.28704,-0.06931,-0.28641,-0.00581,910.400024,0,0
130,93,1,1,1,0,0.005078,0.027671,0.028163,0,0,0,0,0,0,0,0,0,0,0,0,-0.32255,-0.02703,0.32309,-0.02477,910.400024,0,0
129,108,1,1,1,0,0.005335,0.029816,0.031179,0,0,0,0,0,0,0,0,0,0,0,0,0.45981,-0.14047,-0.4586,0.08538,910.400024,0,0
30,23,1,1,1,0,0.000121,0.001213,0.001545,0,0,0,0,0,0,0,0,0,0,0,0,1.2762,0.31513,-1.276,-0.31623,910.400024,0,0
131,36,1,1,1,0,0.003203,0.012288,0.010308,0,0,0,0,0,0,0,0,0,0,0,0,0.38837,-0.08692,-0.38787,0.06824,781.799988,0,0
132,76,1,1,1,0,0.002903,0.016152,0.020803,0,0,0,0,0,0,0,0,0,0,0,0,0.53479,-0.06548,-0.53395,0.02855,910.400024,0,0
132,76,1,1,1,0,0.002749,0.014501,0.0174,0,0,0,0,0,0,0,0,0,0,0,0,0.59414,-0.07274,-0.59316,0.04314,910.400024,0,0
133,123,1,1,1,0,0.00181,0.009605,0.009809,0,0,0,0,0,0,0,0,0,0,0,0,0.33723,-0.24188,-0.33693,0.22404,910.400024,0,0
133,123,1,1,1,0,0.001819,0.009604,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0.33696,-0.24216,-0.33666,0.22434,910.400024,0,0
34,134,1,1,1,0,0.001533,0.008932,0.016435,0,0,0,0,0,0,0,0,0,0,0,0,1.08941,-0.23961,-1.08746,0.21908,1563.612061,0,0
37,134,1,1,1,0,0.000038,0.000285,0.000546,0,0,0,0,0,0,0,0,0,0,0,0,-1.04897,-0.85818,1.04904,0.85766,1820.800049,0,0
128,135,1,1,1,0,0.001645,0.009225,0.015595,0,0,0,0,0,0,0,0,0,0,0,0,-0.94818,-0.00499,0.94965,-0.0183,1563.599976,0,0
136,137,1,1,1,0,0.000199,0.001089,0.000515,0,0,0,0,0,0,0,0,0,0,0,0,0.17135,0.07806,-0.17135,-0.07904,910.400024,0,0
138,139,1,1,1,0,0.000378,0.003214,0.005963,0,0,0,0,0,0,0,0,0,0,0,0,1.11583,0.25849,-1.11534,-0.26624,2091.644043,0,0
138,139,1,1,1,0,0.000378,0.003308,0.005922,0,0,0,0,0,0,0,0,0,0,0,0,1.08351,0.25467,-1.08304,-0.26245,2091.644043,0,0
138,139,1,1,1,0,0.000385,0.003304,0.006138,0,0,0,0,0,0,0,0,0,0,0,0,1.08504,0.25234,-1.08456,-0.26055,2091.644043,0,0
140,109,1,1,1,0,0.001112,0.013573,0.026577,0,0,0,0,0,0,0,0,0,0,0,0,0.72585,0.1107,-0.72524,-0.15663,1820.800049,0,0
3,19,1,1,1,0,0.000531,0.007651,0.421177,0,0,0,0,0,0,0,0,0,0,0,0,3.6484,-0.63381,-3.64139,-0.11784,3641.600098,0,0
3,19,1,1,1,0,0.000551,0.007645,0.427062,0,0,0,0,0,0,0,0,0,0,0,0,3.65024,-0.64962,-3.64296,-0.1139,3641.600098,0,0
