bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3935,6159,0,1,2,1.00569,1.39734,0,0,0.01081,-0.01496,6,6,3.76,-3.76,0,0,0,6.336,1.397,1.081,-1.496,1,2,0,0
3936,6135,0,1,2,1.03345,-13.9609,0,0,0.13004,-0.00206,10,10.5,27.9,-27.9,0,0,0,10.851,0,13.004,-0.206,1,3,0,0
3937,6119,0,1,2,1.0608,-8.77363,0,0,0.24636,0.04789,10,10.5,30.98,-30.98,0,0,0,11.138,0,24.636,4.789,1,2,0,0
3938,578_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3939,6117,0,1,1,0.98453,-10.7927,0.01598,-0.00254,0,0,35,35,0,0,0,0,0,36.92,0,0,0,1,0,0,1
3940,587_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
3941,6022,0,1,1,0.956198,-17.6735,0.27881,0.15031,0,0,35,35,0,0,0,0,0,35.857,0,0,0,1,0,0,1
3942,6027,0,1,2,1.07158,-13.0198,0.02207,0.01316,0.36431,0.20951,10,10.5,34.7,-34.7,0,0,0,11.252,0,36.431,20.951,1,2,0,2
3943,5665,0,1,2,1.00154,-16.2947,0,0,0.15076,-0.03882,10,10.5,42.14,-42.14,0,0,0,10.516,0,15.076,-3.882,1,2,0,0
3944,6032,0,1,2,0.99618,-17.6625,0,0,0.01798,-0.02571,10,10.5,21.08,-21.08,0,0,0,10.46,0,1.798,-2.571,1,2,0,0
3945,5597,0,1,2,1.07948,-8.48351,0,0,0.68748,0.1293,10,10.5,55.78,-55.78,0,0,0,11.334,0,68.748,12.93,1,2,0,0
3946,5598,0,1,2,1.06793,-11.0475,0,0,0.33972,0.02056,10,10.5,55.78,-55.78,0,0,0,11.213,0,33.972,2.056,1,2,0,0
3947,6174,0,1,2,1.01071,-14.7549,0,0,0.10227,0.02681,10,10.5,12.6,-12.6,0,0,0,10.612,0,10.227,2.681,1,2,0,0
3948,6169,0,1,2,0.97672,1.98205,0,0,0.04755,0.00564,10,10.5,6.2,-6.2,0,0,0,10.256,1.982,4.755,0.564,1,1,0,0
3949,612_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3950,6197,0,1,1,1.04115,-8.78476,-0.00063,0.00527,0,0,35,35,0,0,0,0,0,0,0,0,0,1,0,0,1
3951,6198,0,1,2,1.05535,-8.52512,0,0,0.06647,0.00294,10,10.5,9.3,-9.3,0,0,0,11.081,0,6.647,0.294,1,1,0,0
3952,6199,0,1,2,1.05627,-8.06758,0,0,0.15939,0.00656,10,10.5,18.6,-18.6,0,0,0,11.091,0,15.939,0.656,1,2,0,0
