tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
44,43,莆田.涵林Ⅱ路厚林线,1,1,0,0.005136,0.020544,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.190000,1.000000,0.000000,0.000000,0.000000
44,45,莆田.厚锦Ⅰ路厚峰侧,1,1,0,0.000371,0.001485,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.170000,4.460000,0.000000,0.000000,0.000000
46,47,莆田.官厚线,1,1,0,0.001456,0.006843,0.003968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.970001,-1.480000,-40.130001,-0.490000,0.000000
44,48,莆田.厚锦Ⅱ路,1,1,0,0.003365,0.013459,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.180000,1.120000,-13.270000,-1.340000,0.000000
47,41,莆田.顶厚Ⅱ路,1,1,0,0.000662,0.004083,0.005026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-35.560001,-3.750000,35.560001,3.750000,0.000000
47,41,莆田.顶厚Ⅰ路,1,1,0,0.000756,0.004083,0.005026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-38.099998,-2.950000,38.099998,2.950000,0.000000
26,49,莆田.上大线,1,1,0,0.007524,0.030095,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.170000,0.670000,-6.500000,-1.340000,0.000000
26,50,莆田.上黄线,1,1,0,0.007836,0.031342,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.150002,14.610000,-40.770000,-14.890000,0.000000
51,52,莆田.田投线,1,1,0,0.000756,0.003781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,-0.800000,-1.740000,0.000000
53,3,莆田.忠石线,1,1,0,0.001418,0.011493,0.006083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.099998,11.500000,-105.019997,-15.000000,0.000000
